"Database","Source_ID","SS_ID","Source_ID_original","SS_ID_original","Longitude","Latitude","Taxon_group","Pressure","Pressure_level","Pressure_unit","n_species","PDF","MSA_loss"
"PREDICTS",22,"22_1","DI1_2012__Reid","DI1_2012__Reid 1",-82.9679950769231,8.78990938461538,"Vertebrates","Land_use","Young secondary vegetation","Land_use_category",2,0,0.218630390626079
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5305232961111,20.0002942727778,"Invertebrates","Land_use","Cropland","Land_use_category",6,0.833333333333333,0.886666666666667
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5319646729167,19.9933297909722,"Invertebrates","Land_use","Forest_plantation","Land_use_category",6,0.833333333333333,0.891025641025641
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.3939834694444,19.93462535,"Invertebrates","Land_use","Forest_plantation","Land_use_category",4,0.5,0.5
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5365579694444,21.0011640583333,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",6,0.833333333333333,0.975
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5271731864379,19.991829849183,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",6,0.5,0.781248228338408
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.35443131,19.928691733,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",5,0,0.378035772357724
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.3514196876262,19.9317313381313,"Invertebrates","Land_use","Mature secondary vegetation","Land_use_category",4,0,0.0604212860310421
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5269180488562,19.9948221349673,"Invertebrates","Land_use","Pasture","Land_use_category",6,0.5,0.766092154427787
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.3571501897523,19.9321777558934,"Invertebrates","Land_use","Pasture","Land_use_category",6,0.333333333333333,0.555740602009259
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5358791074074,19.9917561217593,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",6,0.333333333333333,0.572515471423371
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.3554256489899,19.9324089422559,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",6,0,0.0217322478516508
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5229948222222,20.000299575,"Invertebrates","Land_use","Secondary vegetation","Land_use_category",6,0.666666666666667,0.943723689246077
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.34876525,19.9272611583333,"Invertebrates","Land_use","Secondary vegetation","Land_use_category",6,0.5,0.642486546857549
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5271683455808,19.9962028859849,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",3,0,0.776197682914101
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.5256483295894,19.9962539407005,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",3,0.333333333333333,0.732334927608371
"PREDICTS",23,"23_1","DI1_2012__Roes","DI1_2012__Roes 1",-97.359615532381,19.9311928677381,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",6,0,0.269443453287498
"PREDICTS",24,"24_1","DI1_2013__deLima","DI1_2013__deLima 1",6.63133556552262,0.33943910524961,"Vertebrates","Land_use","Cropland","Land_use_category",12,0,0.227702760511407
"PREDICTS",24,"24_1","DI1_2013__deLima","DI1_2013__deLima 1",6.63311216153112,0.339762265289368,"Vertebrates","Land_use","Cropland","Land_use_category",5,0.6,0.6
"PREDICTS",24,"24_1","DI1_2013__deLima","DI1_2013__deLima 1",6.65874695463486,0.340508034386908,"Vertebrates","Land_use","Forest_plantation","Land_use_category",5,0.4,0.506614785992218
"PREDICTS",24,"24_1","DI1_2013__deLima","DI1_2013__deLima 1",6.65886390386865,0.34033427475696,"Vertebrates","Land_use","Forest_plantation","Land_use_category",6,0,0.112215909090909
"PREDICTS",24,"24_1","DI1_2013__deLima","DI1_2013__deLima 1",6.65886595433345,0.340031647962982,"Vertebrates","Land_use","Forest_plantation","Land_use_category",6,0,0.0493647717484926
"PREDICTS",24,"24_1","DI1_2013__deLima","DI1_2013__deLima 1",6.64713854624219,0.319375912993716,"Vertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",7,0.142857142857143,0.142857142857143
"PREDICTS",24,"24_1","DI1_2013__deLima","DI1_2013__deLima 1",6.64742129359751,0.318573579254719,"Vertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",10,0,0.14364575992483
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.63182770787257,0.327964908806655,"Plants","Land_use","Cropland","Land_use_category",3,0.666666666666667,0.97979797979798
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.63293394534384,0.328156902691578,"Plants","Land_use","Cropland","Land_use_category",8,0.875,0.875
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.63352777630374,0.328176373550111,"Plants","Land_use","Cropland","Land_use_category",8,0.875,0.983
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.64630282319452,0.326290099932845,"Plants","Land_use","Forest_plantation","Land_use_category",2,0.5,0.926470588235294
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.64675582191887,0.325967651122051,"Plants","Land_use","Forest_plantation","Land_use_category",4,0.25,0.655555555555556
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.64683410794798,0.326673089037756,"Plants","Land_use","Forest_plantation","Land_use_category",8,0.5,0.766203703703704
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.6468736406249,0.326522544749901,"Plants","Land_use","Forest_plantation","Land_use_category",2,0.5,0.96969696969697
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.64715686341639,0.326121897267842,"Plants","Land_use","Forest_plantation","Land_use_category",3,0,0.835
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.60707628650486,0.328025894653765,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",8,0.75,0.849537037037037
